gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,componente,tamanho_componente,origem,posicao_ranking,relacionado,vizinhos_no_corpus,ligacoes_possiveis_no_corpus
capybara,lib/capybara/selenium/extensions/html5_drag.rb,a210c6e57872,testing,9,12,0,100,0.0,1,0.0,4,2,4,1.0,isolado,capybara#35,6,grupo,,True,3,3
capybara,lib/capybara/selenium/node.rb,a210c6e57872,testing,6.5,36,0,80,1.0,1,1.4,71,3,66,0.93,isolado,capybara#35,6,grupo,,True,4,4
capybara,lib/capybara/selenium/nodes/chrome_node.rb,a210c6e57872,testing,7.1,17,0,79,2.0,2,14.3,14,1,13,0.929,isolado,capybara#35,6,grupo,,True,2,2
capybara,lib/capybara/selenium/nodes/edge_node.rb,a210c6e57872,testing,8.2,17,0,91,1.0,2,18.2,11,1,11,1.0,isolado,capybara#35,6,grupo,66,True,2,2
capybara,lib/capybara/selenium/nodes/firefox_node.rb,a210c6e57872,testing,7.9,24,0,93,2.0,2,7.1,14,1,13,0.929,isolado,capybara#35,6,grupo,,True,2,2
capybara,lib/capybara/selenium/nodes/safari_node.rb,a210c6e57872,testing,9.2,19,0,100,0.0,2,0.0,10,1,10,1.0,isolado,capybara#35,6,grupo,,True,1,1
carrierwave,lib/carrierwave/storage/fog.rb,5effe4ecaae9,file upload,7.4,48,6,88,0.5,1,0.0,34,4,33,0.971,isolado,carrierwave#8,1,diversidade,84,False,0,0
childprocess,lib/childprocess/process_spawn_process.rb,c756730c4ac4,processes,15.9,58,0,57,0.0,1,0.0,7,2,6,0.857,isolado,childprocess#0,3,diversidade,96,False,0,0
cocoapods,lib/cocoapods/command/install.rb,5493bfd201a3,package management,7.3,9,33,100,0.67,2,0.0,3,3,3,1.0,isolado,cocoapods#0,45,diversidade,31,False,0,0
colorize,lib/colorize/class_methods.rb,a252d8af6b76,cli utilities,5.7,11,0,55,0.0,0,15.0,20,2,14,0.7,isolado,colorize#0,1,diversidade,49,False,0,0
commander,lib/commander/command.rb,b4c6be4b149c,cli builder,5.1,11,0,73,0.33,0,20.0,15,3,14,0.933,isolado,commander#0,3,grupo,,True,1,2
commander,lib/commander/runner.rb,b4c6be4b149c,cli builder,7.7,38,9,64,0.0,2,0.0,33,4,31,0.939,isolado,commander#0,3,grupo,,True,2,2
