gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,erro_rspec
rspec,rspec-expectations/lib/rspec/matchers/dsl.rb,79a280d76e10,testing,6.0,15,0,39,1.0,0,27.3,33,7,25,0.758,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__dsl.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleExpectatio
rspec,rspec-expectations/lib/rspec/matchers/matcher_delegator.rb,79a280d76e10,testing,3.2,4,0,80,0.25,1,20.0,5,4,4,0.8,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__matcher_delegator.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mult
rspec,rspec-mocks/lib/rspec/mocks/any_instance/error_generator.rb,79a280d76e10,testing,3.6,4,20,20,0.0,1,0.0,5,4,5,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__any_instance__error_generator.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mu
rspec,rspec-mocks/lib/rspec/mocks/any_instance/expect_chain_chain.rb,79a280d76e10,testing,3.2,4,0,0,0.0,1,0.0,5,4,4,0.8,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__any_instance__expect_chain_chain.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class
rspec,rspec-mocks/lib/rspec/mocks/any_instance/expectation_chain.rb,79a280d76e10,testing,4.8,12,0,20,0.0,2,0.0,5,5,5,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__any_instance__expectation_chain.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class 
rspec,rspec-mocks/lib/rspec/mocks/any_instance/stub_chain.rb,79a280d76e10,testing,6,14,0,50,0.0,1,0.0,4,4,3,0.75,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__any_instance__stub_chain.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multipl
rspec,rspec-mocks/lib/rspec/mocks/any_instance/stub_chain_chain.rb,79a280d76e10,testing,3.3,4,0,0,0.0,1,0.0,3,4,3,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__any_instance__stub_chain_chain.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class M
rspec,rspec-mocks/lib/rspec/mocks/configuration.rb,79a280d76e10,testing,4.7,14,6,44,0.0,0,0.0,16,3,12,0.75,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__configuration.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleExpectatio
rspec,rspec-mocks/lib/rspec/mocks/example_methods.rb,79a280d76e10,testing,4.4,13,24,24,0.5,0,0.0,17,4,15,0.882,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__example_methods.rb_spec.rb. Failure/Error: RSpec::Support.require_rspec_mocks 'object_reference' NoMethodError: undefined method 'require_rspec_mocks' for module R
rspec,rspec-mocks/lib/rspec/mocks/matchers/have_received.rb,79a280d76e10,testing,4.0,8,0,36,0.25,0,4.5,22,4,18,0.818,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__matchers__have_received.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multiple
rspec,rspec-mocks/lib/rspec/mocks/matchers/receive.rb,79a280d76e10,testing,4.8,11,0,29,0.2,0,5.9,17,5,13,0.765,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__matchers__receive.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleExpect
rspec,rspec-mocks/lib/rspec/mocks/matchers/receive_message_chain.rb,79a280d76e10,testing,4.8,9,0,40,0.25,0,0.0,10,4,10,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__matchers__receive_message_chain.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class 
rspec,rspec-mocks/lib/rspec/mocks/matchers/receive_messages.rb,79a280d76e10,testing,4.2,6,0,42,0.25,0,0.0,12,4,12,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__matchers__receive_messages.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multi
rspec,rspec-mocks/lib/rspec/mocks/verifying_double.rb,79a280d76e10,testing,8,16,0,50,0.86,1,12.5,8,7,7,0.875,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__verifying_double.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleExpecta
rspec,rspec-mocks/lib/rspec/mocks/verifying_message_expectation.rb,79a280d76e10,testing,9,15,0,67,0.0,1,0.0,3,3,3,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__verifying_message_expectation.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mu
rspec,rspec-mocks/lib/rspec/mocks/verifying_proxy.rb,79a280d76e10,testing,5.2,13,4,56,0.27,3,0.0,25,11,22,0.88,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-mocks__lib__rspec__mocks__verifying_proxy.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class MultipleExpectat
spring,lib/spring/commands.rb,b7f3fd04b2ed,testing,3,3,100,100,0.0,0,0.0,3,1,3,1.0,isolado,"While loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_1kssmgxa/lib__spring__commands.rb_spec.rb an `exit` / `raise SystemExit` occurred, RSpec will now quit. Failure/Error: require ""bundler/setup"" SystemExit: exit # ./lib/spring/commands.rb:37:in '<module:Spring>' # ./lib/spr"
spring,lib/spring/server.rb,b7f3fd04b2ed,testing,6.6,27,6,56,0.0,0,0.0,18,3,18,1.0,isolado,"While loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_1kssmgxa/lib__spring__server.rb_spec.rb an `exit` / `raise SystemExit` occurred, RSpec will now quit. Failure/Error: require ""bundler/setup"" SystemExit: exit # ./lib/spring/commands.rb:37:in '<module:Spring>' # ./lib/sprin"
